record-type,date,car,emoji,text
fairshare-derivation-co2e-cars,2014-01-01,0,📈,"The 2014 spike was caused by an unusually large donation of textiles (duvet covers, sheets, pillowcases) from the student halls of residence."
fairshare-derivation-co2e-cars,2021-01-01,0,📉,"During 2020 and for most of 2021, the store's normal operation was suspended due to Covid-19." 
